id,text,example_very_unclear,neutral,positive recognition,anger,sadness,anxiety,regret,happiness,discomfort,affection,curiosity,surprise
e2lvzyq,This is the best day I've had in ages.,FALSE,0,0,0,0,0,0,1,0,0,0,0
ehprqci,This is an ordinary and plain example.,FALSE,1,0,0,0,0,0,0,0,0,0,0
e3asfjq,"Wow, this changes everything so suddenly.",FALSE,0,0,0,0,0,0,0,0,0,0,1
eic4nl9,You're truly a star in this team!,FALSE,0,1,0,0,0,0,0,0,0,0,0
ebh71j2,This revelation is truly mind-blowing!,FALSE,0,0,0,0,0,0,0,0,0,0,1
ezxdl98,Why can't things just go smoothly for once?,FALSE,0,0,1,0,0,0,0,0,0,0,0
el95dki,I feel like a dark cloud is over me.,FALSE,0,0,0,1,0,0,0,0,0,0,0
et5x4t4,I feel so out of place right now.,FALSE,0,0,0,0,0,0,0,1,0,0,0
e8l7g5e,Your presence brings me so much joy.,FALSE,0,0,0,0,0,0,0,0,1,0,0
ek1ujqx,My heart races every time I consider it.,FALSE,0,0,0,0,1,0,0,0,0,0,0
emkt3k5,Nothing surprising in this statement.,FALSE,1,0,0,0,0,0,0,0,0,0,0
e3c9905,Regret is a heavy burden to bear.,FALSE,0,0,0,0,0,1,0,0,0,0,0
e434nlo,I have to applaud your exceptional effort.,FALSE,0,1,0,0,0,0,0,0,0,0,0
e6xn9qy,The thought of tomorrow keeps me up at night.,FALSE,0,0,0,0,1,0,0,0,0,0,0
eeire1l,The possibilities here are so intriguing.,FALSE,0,0,0,0,0,0,0,0,0,1,0
ehret1y,I'm feeling so nervous I can hardly think.,FALSE,0,0,0,0,1,0,0,0,0,0,0
edtii21,I can't stop wondering about the next step.,FALSE,0,0,0,0,0,0,0,0,0,1,0
eat6gzu,This really irritates me beyond belief!,FALSE,0,0,1,0,0,0,0,0,0,0,0
e689yuk,The weather outside is just fine.,FALSE,1,0,0,0,0,0,0,0,0,0,0
e862p30,You always light up my day with kindness.,FALSE,0,0,0,0,0,0,0,0,1,0,0
elr89gp,"Amazing work, you inspire others.",FALSE,0,1,0,0,0,0,0,0,0,0,0
e7bfy19,"I can't stop smiling, this is perfect!",FALSE,0,0,0,0,0,0,1,0,0,0,0
e4stuv6,This makes my blood boil to the core!,FALSE,0,0,1,0,0,0,0,0,0,0,0
ewpwefx,If only I could rewind the clock.,FALSE,0,0,0,0,0,1,0,0,0,0,0
e3k58h2,I didn't see that coming at all!,FALSE,0,0,0,0,0,0,0,0,0,0,1
exkiyjc,Joy fills my heart completely right now.,FALSE,0,0,0,0,0,0,1,0,0,0,0
ewk51bm,That twist completely caught me off guard!,FALSE,0,0,0,0,0,0,0,0,0,0,1
efomb3l,Life feels so heavy right now.,FALSE,0,0,0,1,0,0,0,0,0,0,0
ep6q96s,The tension in my chest won't go away.,FALSE,0,0,0,0,1,0,0,0,0,0,0
eaw18g9,What would happen if we tried this approach?,FALSE,0,0,0,0,0,0,0,0,0,1,0
ebm40kn,This is so awkward I can hardly stand it.,FALSE,0,0,0,0,0,0,0,1,0,0,0
evct0gw,Why does everything have to fall apart?,FALSE,0,0,0,1,0,0,0,0,0,0,0
ese87lc,I wish I could just escape this place.,FALSE,0,0,0,0,0,0,0,1,0,0,0
e2v92a2,I can't imagine life without you in it.,FALSE,0,0,0,0,0,0,0,0,1,0,0
e3w7u5e,I feel so bad for my past decisions.,FALSE,0,0,0,0,0,1,0,0,0,0,0
ed3nb42,You did a phenomenal job on this project!,FALSE,0,1,0,0,0,0,0,0,0,0,0
eof21rh,You're a wonderful part of my world.,FALSE,0,0,0,0,0,0,0,0,1,0,0
ex24vn6,"Looking back, I see so many mistakes.",FALSE,0,0,0,0,0,1,0,0,0,0,0
ehqltvl,This is an uneasy and unpleasant situation.,FALSE,0,0,0,0,0,0,0,1,0,0,0
e7xs75t,It's hard to keep going like this.,FALSE,0,0,0,1,0,0,0,0,0,0,0
ezohqkq,This puzzle has my full attention right now.,FALSE,0,0,0,0,0,0,0,0,0,1,0
e2gws5n,I'm so fed up with all this nonsense.,FALSE,0,0,1,0,0,0,0,0,0,0,0
